fecha,Efectivo,Reserva Bancaria,Total
1984-01-31,108.81,160.524,269.334
1984-02-29,103.102,155.022,258.124
1984-03-31,106.416,146.641,253.057
1984-04-30,108.388,151.184,259.572
1984-05-31,112.006,139.043,251.049
1984-06-30,119.438,142.669,262.107
1984-07-31,111.962,146.965,258.927
1984-08-31,114.794,132.525,247.319
1984-09-30,116.478,128.52,244.998
1984-10-31,125.849,124.158,250.007
1984-11-30,129.628,130.753,260.381
1984-12-31,208.784,126.562,335.346
1985-01-31,146.681,161.342,308.023
1985-02-28,140.466,166.917,307.383
1985-03-31,139.074,171.052,310.126
1985-04-30,138.363,160.145,298.508
1985-05-31,147.008,155.515,302.523
1985-06-30,154.892,155.604,310.496
1985-07-31,149.092,171.685,320.777
1985-08-31,144.131,181.098,325.229
1985-09-30,141.57,174.944,316.514
1985-10-31,157.948,165.629,323.577
1985-11-30,165.925,191.785,357.71
1985-12-31,263.704,165.569,429.273
1986-01-31,182.477,242.939,425.416
1986-02-28,179.866,238.097,417.963
1986-03-31,190.248,242.241,432.489
1986-04-30,188.197,223.428,411.625
1986-05-31,190.337,229.186,419.523
1986-06-30,204.448,222.562,427.01
1986-07-31,198.592,229.65,428.242
1986-08-31,193.878,213.184,407.062
1986-09-30,188.615,224.195,412.81
1986-10-31,203.504,219.116,422.62
1986-11-30,210.726,245.094,455.82
1986-12-31,310.455,239.361,549.816
1987-01-31,228.564,261.92,490.484
1987-02-28,224.799,283.436,508.235
1987-03-31,219.286,298.544,517.83
1987-04-30,239.141,280.936,520.077
1987-05-31,241.97,308.586,550.556
1987-06-30,255.483,331.306,586.789
1987-07-31,244.727,325.229,569.956
1987-08-31,246.761,335.907,582.668
1987-09-30,257.824,308.076,565.9
1987-10-31,262.902,315.505,578.407
1987-11-30,269.034,320.849,589.883
1987-12-31,411.742,304.076,715.818
1988-01-31,325.561,331.559,657.12
1988-02-29,326.963,333.829,660.792
1988-03-31,346.65,344.899,691.549
1988-04-30,325.262,336.471,661.733
1988-05-31,310.908,367.31,678.218
1988-06-30,351.143,350.278,701.421
1988-07-31,331.223,370.481,701.704
1988-08-31,341.499,362.059,703.558
1988-09-30,329.962,359.49,689.452
1988-10-31,340.688,387.13,727.818
1988-11-30,386.27,415.984,802.254
1988-12-31,520.874,393.991,914.865
1989-01-31,385.939,490.749,876.688
1989-02-28,372.683,509.852,882.535
1989-03-31,384.623,502.878,887.501
1989-04-30,395.189,523.453,918.642
1989-05-31,411.389,513.188,924.577
1989-06-30,426.999,506.078,933.077
1989-07-31,403.163,582.244,985.407
1989-08-31,417.839,536.987,954.826
1989-09-30,406.694,503.433,910.127
1989-10-31,403.252,518.366,921.618
1989-11-30,464.68,501.65,966.33
1989-12-31,642.738,528.955,1171.693
1990-01-31,511.47,521.333,1032.803
