fecha,Tasa de ocupación (%),Tasa de desempleo (%),Inflación total,Límite superior,Meta de inflación,Límite inferior
2024-05-01,57.5021897887705,10.3058708276143,7.16,4.0,3.0,2.0
2024-04-01,57.1573538384964,10.646715730369,7.16,4.0,3.0,2.0
2024-03-01,56.6783256628859,11.2857194994358,7.36,4.0,3.0,2.0
2024-02-01,56.3626881587079,11.6661447920677,7.74,4.0,3.0,2.0
2024-01-01,55.2568287713743,12.6616358267059,8.35,4.0,3.0,2.0
2023-12-01,57.4346329503106,10.0137173961816,9.28,4.0,3.0,2.0
2023-11-01,58.311300931,9.007386157,10.15,4.0,3.0,2.0
2023-10-01,58.122121622,9.230912384,10.48,4.0,3.0,2.0
2023-09-01,58.254994768,9.25267418,10.99,4.0,3.0,2.0
2023-08-01,58.465340321,9.277371999,11.43,4.0,3.0,2.0
2023-07-01,58.591552018,9.572850564,11.78,4.0,3.0,2.0
2023-06-01,58.324316891,9.342309621,12.13,4.0,3.0,2.0
2023-05-01,57.1687,10.4751,12.36,4.0,3.0,2.0
2023-04-01,57.679106217,10.724700483,12.82,4.0,3.0,2.0
2023-03-01,57.8801333,10.032543955,13.34,4.0,3.0,2.0
2023-02-01,56.516620827,11.353126106,13.28,4.0,3.0,2.0
2023-01-01,54.69777211,13.704360068,13.25,4.0,3.0,2.0
2022-12-01,57.251224047,10.272678774,13.12,4.0,3.0,2.0
2022-11-01,57.3629419,9.500757733,12.53,4.0,3.0,2.0
2022-10-01,57.736375458,9.721029957,12.22,4.0,3.0,2.0
2022-09-01,57.24866083,10.748438413,11.44,4.0,3.0,2.0
2022-08-01,56.729767921,10.63127651,10.84,4.0,3.0,2.0
2022-07-01,56.529092485,10.988923636,10.21,4.0,3.0,2.0
2022-06-01,56.502621487,11.261201224,9.67,4.0,3.0,2.0
2022-05-01,56.987311835,10.648261518,9.07,4.0,3.0,2.0
2022-04-01,56.468525276,11.168465857,9.23,4.0,3.0,2.0
2022-03-01,55.821385198,12.121232557,8.53,4.0,3.0,2.0
2022-02-01,55.884305474,12.905169722,8.01,4.0,3.0,2.0
2022-01-01,53.409042207,14.647251143,6.94,4.0,3.0,2.0
2021-12-01,55.541318136,11.096493065,5.62,4.0,3.0,2.0
2021-11-01,55.016586109,11.533057524,5.26,4.0,3.0,2.0
2021-10-01,54.612027577,11.995241041,4.58,4.0,3.0,2.0
2021-09-01,53.633540542,11.961303547,4.51,4.0,3.0,2.0
2021-08-01,53.43221711,12.861392996,4.44,4.0,3.0,2.0
2021-07-01,53.088076849,13.058523089,3.97,4.0,3.0,2.0
2021-06-01,52.253657359,14.646591578,3.63,4.0,3.0,2.0
2021-05-01,52.106214759,15.204204747,3.3,4.0,3.0,2.0
2021-04-01,51.571089344,15.488034242,1.95,4.0,3.0,2.0
2021-03-01,52.527336603,14.725529465,1.51,4.0,3.0,2.0
2021-02-01,52.771274505,15.585196369,1.56,4.0,3.0,2.0
2021-01-01,50.078841882,17.563265669,1.6,4.0,3.0,2.0
2020-12-01,53.7425,13.9142,1.61,4.0,3.0,2.0
2020-11-01,53.5533,13.9128,1.49,4.0,3.0,2.0
2020-10-01,53.6637,15.2814,1.75,4.0,3.0,2.0
2020-09-01,51.0728,16.2928,1.97,4.0,3.0,2.0
2020-08-01,49.729,17.4427,1.88,4.0,3.0,2.0
2020-07-01,45.945,20.9147,1.97,4.0,3.0,2.0
2020-06-01,46.8915,20.3591,2.19,4.0,3.0,2.0
2020-05-01,44.2397,21.972,2.85,4.0,3.0,2.0
2020-04-01,42.4971,20.4853,3.51,4.0,3.0,2.0
2020-03-01,52.45,13.1828,3.86,4.0,3.0,2.0
2020-02-01,56.0715,12.8131,3.72,4.0,3.0,2.0
2020-01-01,55.3277,13.4585,3.62,4.0,3.0,2.0
2019-12-01,58.1924,9.9497,3.8,4.0,3.0,2.0
2019-11-01,58.7449,9.6186,3.84,4.0,3.0,2.0
2019-10-01,58.8641,10.1236,3.86,4.0,3.0,2.0
2019-09-01,57.3598,10.8003,3.82,4.0,3.0,2.0
2019-08-01,56.8598,11.1973,3.75,4.0,3.0,2.0
2019-07-01,57.0848,11.2807,3.79,4.0,3.0,2.0
2019-06-01,58.7831,9.7229,3.43,4.0,3.0,2.0
2019-05-01,57.5788,10.9519,3.31,4.0,3.0,2.0
2019-04-01,57.3141,10.6566,3.25,4.0,3.0,2.0
2019-03-01,57.6751,11.1814,3.21,4.0,3.0,2.0
2019-02-01,57.551,12.0926,3.01,4.0,3.0,2.0
2019-01-01,56.4654,13.0752,3.15,4.0,3.0,2.0
2018-12-01,59.779,9.9891,3.18,4.0,3.0,2.0
2018-11-01,58.7952,8.9905,3.27,4.0,3.0,2.0
2018-10-01,60.0706,9.3615,3.33,4.0,3.0,2.0
2018-09-01,59.4706,9.6707,3.23,4.0,3.0,2.0
2018-08-01,59.5938,9.4292,3.1,4.0,3.0,2.0
2018-07-01,58.8793,10.0423,3.12,4.0,3.0,2.0
2018-06-01,59.8918,9.3085,3.2,4.0,3.0,2.0
2018-05-01,59.2541,9.9795,3.16,4.0,3.0,2.0
2018-04-01,59.8379,9.7292,3.13,4.0,3.0,2.0
2018-03-01,58.7333,9.7716,3.14,4.0,3.0,2.0
2018-02-01,57.8333,11.1882,3.37,4.0,3.0,2.0
2018-01-01,57.3864,12.1374,3.68,4.0,3.0,2.0
2017-12-01,60.2113,8.9122,4.09,4.0,3.0,2.0
2017-11-01,60.6148,8.7648,4.12,4.0,3.0,2.0
2017-10-01,61.3555,8.7399,4.05,4.0,3.0,2.0
2017-09-01,59.7017,9.5469,3.97,4.0,3.0,2.0
2017-08-01,60.1233,9.5168,3.87,4.0,3.0,2.0
2017-07-01,59.4325,9.9404,3.4,4.0,3.0,2.0
2017-06-01,61.3211,8.9773,3.99,4.0,3.0,2.0
2017-05-01,59.8438,9.838,4.37,4.0,3.0,2.0
2017-04-01,60.8732,9.1359,4.66,4.0,3.0,2.0
2017-03-01,59.2366,9.9046,4.69,4.0,3.0,2.0
2017-02-01,59.1271,10.873,5.18,4.0,3.0,2.0
2017-01-01,58.3015,11.9569,5.47,4.0,3.0,2.0
2016-12-01,60.7098,9.0971,5.75,4.0,3.0,2.0
2016-11-01,61.979,7.7732,5.96,4.0,3.0,2.0
2016-10-01,62.2644,8.628,6.48,4.0,3.0,2.0
2016-09-01,60.4751,8.8534,7.27,4.0,3.0,2.0
2016-08-01,60.5386,9.2326,8.1,4.0,3.0,2.0
2016-07-01,59.3483,10.2006,8.97,4.0,3.0,2.0
2016-06-01,61.0896,9.19,8.6,4.0,3.0,2.0
2016-05-01,60.2331,9.2374,8.2,4.0,3.0,2.0
2016-04-01,61.1884,9.3195,7.93,4.0,3.0,2.0
2016-03-01,59.1947,10.4646,7.98,4.0,3.0,2.0
2016-02-01,59.8879,10.3678,7.59,4.0,3.0,2.0
2016-01-01,58.956,12.1784,7.45,4.0,3.0,2.0
2015-12-01,61.5161,8.8227,6.77,4.0,3.0,2.0
2015-11-01,62.9338,7.5631,6.39,4.0,3.0,2.0
2015-10-01,63.2875,8.4385,5.89,4.0,3.0,2.0
2015-09-01,61.2726,9.0682,5.35,4.0,3.0,2.0
2015-08-01,61.1861,9.3036,4.74,4.0,3.0,2.0
2015-07-01,60.8262,9.2237,4.46,4.0,3.0,2.0
2015-06-01,61.5891,8.4987,4.42,4.0,3.0,2.0
2015-05-01,61.3508,9.2216,4.41,4.0,3.0,2.0
2015-04-01,61.4334,9.7373,4.64,4.0,3.0,2.0
2015-03-01,60.7317,9.1228,4.56,4.0,3.0,2.0
2015-02-01,59.96,10.2276,4.36,4.0,3.0,2.0
2015-01-01,59.1653,11.1517,3.82,4.0,3.0,2.0
2014-12-01,60.88,9.0375,3.66,4.0,3.0,2.0
2014-11-01,62.5474,8.0622,3.65,4.0,3.0,2.0
2014-10-01,63.6146,8.0953,3.29,4.0,3.0,2.0
2014-09-01,61.7269,8.6057,2.86,4.0,3.0,2.0
2014-08-01,61.4936,9.16,3.02,4.0,3.0,2.0
2014-07-01,60.3572,9.6865,2.89,4.0,3.0,2.0
2014-06-01,61.2915,9.4019,2.79,4.0,3.0,2.0
2014-05-01,61.2494,9.0674,2.93,4.0,3.0,2.0
2014-04-01,61.2055,9.3084,2.72,4.0,3.0,2.0
2014-03-01,60.0405,9.8445,2.51,4.0,3.0,2.0
2014-02-01,59.373,11.0878,2.32,4.0,3.0,2.0
2014-01-01,59.3279,11.5324,2.13,4.0,3.0,2.0
