fecha,Cuasidineros <sup>1/</sup>,m1
1984-01-31,648.337,370.88300000000004
1984-02-29,663.333,363.27099999999996
1984-03-31,670.403,364.94599999999997
1984-04-30,671.82,371.81100000000004
1984-05-31,672.985,369.12
1984-06-30,685.001,386.568
1984-07-31,696.983,384.15
1984-08-31,706.764,392.892
1984-09-30,733.021,398.017
1984-10-31,750.315,400.09
1984-11-30,751.073,416.84
1984-12-31,752.593,499.734
1985-01-31,827.267,454.547
1985-02-28,861.324,446.678
1985-03-31,875.243,448.93600000000004
1985-04-30,890.854,450.414
1985-05-31,905.024,457.5
1985-06-30,926.186,472.87399999999997
1985-07-31,960.589,471.049
1985-08-31,972.638,483.41200000000003
1985-09-30,997.279,486.908
1985-10-31,1019.573,504.9630000000001
1985-11-30,1032.347,536.913
1985-12-31,1040.467,640.443
1986-01-31,1132.445,593.277
1986-02-28,1170.769,603.6940000000001
1986-03-31,1205.378,599.894
1986-04-30,1209.696,615.3820000000001
1986-05-31,1243.602,627.983
1986-06-30,1262.27,652.135
1986-07-31,1290.963,643.1949999999999
1986-08-31,1291.964,659.447
1986-09-30,1322.297,645.6800000000001
1986-10-31,1339.327,666.249
1986-11-30,1347.526,702.623
1986-12-31,1387.49,784.49
1987-01-31,1450.914,758.537
1987-02-28,1493.343,762.741
1987-03-31,1544.14,758.193
1987-04-30,1578.907,792.6139999999999
1987-05-31,1613.778,802.1310000000001
1987-06-30,1634.874,829.933
1987-07-31,1677.319,832.6800000000001
1987-08-31,1706.248,835.7669999999999
1987-09-30,1759.719,840.6759999999999
1987-10-31,1763.208,878.1119999999999
1987-11-30,1760.485,907.776
1987-12-31,1750.779,1044.566
1988-01-31,1842.345,1009.133
1988-02-29,1877.01,989.8320000000001
1988-03-31,1904.939,979.784
1988-04-30,1954.28,1002.0440000000001
1988-05-31,1988.695,996.705
1988-06-30,2023.235,1063.423
1988-07-31,2039.464,1037.2839999999999
1988-08-31,2084.418,1039.508
1988-09-30,2114.56,1049.496
1988-10-31,2122.196,1086.952
1988-11-30,2124.53,1202.5249999999999
1988-12-31,2141.338,1314.52
1989-01-31,2310.443,1224.022
1989-02-28,2393.986,1220.8429999999998
1989-03-31,2452.59,1232.227
1989-04-30,2533.731,1244.59
1989-05-31,2616.72,1281.009
1989-06-30,2673.427,1353.268
1989-07-31,2780.264,1319.558
1989-08-31,2835.982,1331.315
1989-09-30,2844.418,1322.322
1989-10-31,2879.068,1353.468
1989-11-30,2892.587,1468.564
1989-12-31,2887.878,1694.747
1990-01-31,3128.897,1580.9950000000001
1990-02-28,3185.189,1579.027
1990-03-31,3264.411,1578.6200000000001
1990-04-30,3348.873,1633.5510000000002
1990-05-31,3367.097,1622.389
1990-06-30,3448.179,1705.145
1990-07-31,3567.751,1674.722
1990-08-31,3622.008,1714.839
1990-09-30,3744.319,1710.66
1990-10-31,3855.933,1787.012
1990-11-30,3863.571,1856.7910000000002
1990-12-31,3911.734,2122.489
1991-01-31,4150.42,1991.984
1991-02-28,4100.543,1931.469
1991-03-31,4141.843,1959.7760000000003
1991-04-30,4252.118,1986.686
1991-05-31,4382.57,2094.0460000000003
1991-06-30,4358.957,2140.75
1991-07-31,4316.805,2100.133
1991-08-31,4330.715,2105.081
1991-09-30,4529.531,2219.563
1991-10-31,4910.048,2305.542
1991-11-30,5075.381,2456.348
1991-12-31,5266.295,2795.433
1992-01-31,5708.168,2571.69
1992-02-29,5899.349,2567.8680000000004
1992-03-31,6153.256,2620.953
1992-04-30,6279.688,2895.251
1992-05-31,6339.973,2895.471
1992-06-30,6504.747,3084.4399999999996
1992-07-31,6460.861,2995.292
1992-08-31,6470.027,2976.1639999999998
1992-09-30,6695.504,3008.1400000000003
1992-10-31,6998.99,3130.052
1992-11-30,7010.465,3305.301
1992-12-31,7237.764,3941.8239999999996
1993-01-31,7522.107,3572.328
1993-02-28,7680.693,3479.7709999999997
1993-03-31,7987.262,3512.713
1993-04-30,8251.712,3771.406
1993-05-31,8359.629,3800.4699999999993
1993-06-30,8824.483,4022.728
1993-07-31,9162.427,4020.7039999999997
1993-08-31,9506.422,4005.3199999999997
1993-09-30,9533.967,4108.352000000001
1993-10-31,10001.128,4193.613
1993-11-30,10442.216,4424.638
1993-12-31,10692.449,5124.8369999999995
1994-01-31,11337.523,4774.186000000001
1994-02-28,11633.346,4793.457
1994-03-31,11984.246,4827.424830999999
1994-04-30,12374.634,4982.217
1994-05-31,13055.251,4986.841
1994-06-30,13032.425,5246.121999999999
1994-07-31,13560.059,5334.303988
1994-08-31,14174.844,5309.453996
1994-09-30,14553.285,5342.460995
1994-10-31,14928.72,5458.867945
1994-11-30,15479.641,5778.335
1994-12-31,16150.024,6419.026964
1995-01-31,16724.259,5858.951999
1995-02-28,17414.016,5707.448
1995-03-31,18286.29,5762.1359999999995
1995-04-30,18875.755,5936.588
1995-05-31,19290.758,5818.058868
1995-06-30,19736.05,6186.153868
1995-07-31,19974.537,6238.322998
1995-08-31,20294.057,6003.045915000001
1995-09-30,21096.462,6044.089
1995-10-31,21756.553,6126.246999000001
1995-11-30,21143.842,6611.959997
1995-12-31,21243.453,7717.836
1996-01-31,21758.931,6672.377
1996-02-29,22241.31,6618.4949830000005
1996-03-31,22098.717,6873.422963999999
1996-04-30,22882.439,6794.802
1996-05-31,23001.097,6680.954896
1996-06-30,23039.993,7150.295743999999
1996-07-31,23808.989,6838.069995
1996-08-31,23949.9,6649.1539809999995
1996-09-30,24046.211,6967.011965
1996-10-31,24592.23,6938.919
1996-11-30,24586.679,7204.294
1996-12-31,25822.767,8992.756997
1997-01-31,26503.712,7603.123998000001
1997-02-28,26593.747,7570.262987
1997-03-31,26813.529,7898.136951
1997-04-30,27388.793,8139.834982
1997-05-31,27678.644,8156.582
1997-06-30,28253.509,8762.584
1997-07-31,29187.286,8444.989956000001
1997-08-31,29630.031,8250.300606
1997-09-30,30217.275,8387.941
1997-10-31,30949.256,8597.939998
1997-11-30,31744.347,9184.106
1997-12-31,32846.548,10948.009965
1998-01-31,33403.241,9321.836
1998-02-28,33926.197,8878.917926
1998-03-31,34574.042,8862.987000000001
1998-04-30,35404.373,8788.320922
1998-05-31,36533.033,8917.456267
1998-06-30,36475.663,8952.71543
1998-07-31,36808.993,8656.393
1998-08-31,37386.66,8637.403107
1998-09-30,36846.323,8459.625518
1998-10-31,37241.271,8317.646448
1998-11-30,37466.412,8775.240483
1998-12-31,38031.605,10526.461683000001
1999-01-31,38948.197981,9159.352458
1999-02-28,39775.883981,8754.860874
1999-03-31,39700.977981,8711.80194
1999-04-30,40310.458981,8875.848993
1999-05-31,40065.0509,9173.761073
1999-06-30,39888.565517,9493.248847756
1999-07-31,39503.383485,9586.54956
1999-08-31,40079.540579,9379.946881
1999-09-30,39552.095812,9382.498456000001
1999-10-31,40327.542016,9304.869707
