fecha,Depósitos en poder del público <sup>1/</sup>,Efectivo
1984-01-31,959.259,108.81
1984-02-29,973.539,103.102
1984-03-31,982.109,106.416
1984-04-30,991.333,108.388
1984-05-31,992.84,112.006
1984-06-30,1009.474,119.438
1984-07-31,1027.512,111.962
1984-08-31,1041.444,114.794
1984-09-30,1074.162,116.478
1984-10-31,1083.034,125.849
1984-11-30,1100.257,129.628
1984-12-31,1102.218,208.784
1985-01-31,1198.887,146.681
1985-02-28,1221.285,140.466
1985-03-31,1252.038,139.074
1985-04-30,1260.587,138.363
1985-05-31,1283.571,147.008
1985-06-30,1315.234,154.892
1985-07-31,1358.45,149.092
1985-08-31,1399.076,144.131
1985-09-30,1413.352,141.57
1985-10-31,1451.876,157.948
1985-11-30,1485.694,165.925
1985-12-31,1486.258,263.704
1986-01-31,1626.754,182.477
1986-02-28,1667.139,179.866
1986-03-31,1693.09,190.248
1986-04-30,1705.6,188.197
1986-05-31,1756.498,190.337
1986-06-30,1792.887,204.448
1986-07-31,1826.162,198.592
1986-08-31,1837.657,193.878
1986-09-30,1859.016,188.615
1986-10-31,1887.04,203.504
1986-11-30,1925.631,210.726
1986-12-31,1939.39,310.455
1987-01-31,2066.891,228.564
1987-02-28,2130.918,224.799
1987-03-31,2175.168,219.286
1987-04-30,2225.165,239.141
1987-05-31,2275.153,241.97
1987-06-30,2314.784,255.483
1987-07-31,2374.104,244.727
1987-08-31,2409.871,246.761
1987-09-30,2484.639,257.824
1987-10-31,2512.333,262.902
1987-11-30,2527.706,269.034
1987-12-31,2511.525,411.742
1988-01-31,2651.113,325.561
1988-02-29,2710.153,326.963
1988-03-31,2704.18,346.65
1988-04-30,2778.351,325.262
1988-05-31,2853.442,310.908
1988-06-30,2923.268,351.143
1988-07-31,2951.248,331.223
1988-08-31,2990.87,341.499
1988-09-30,3026.674,329.962
1988-10-31,3069.166,340.688
1988-11-30,3161.022,386.27
1988-12-31,3120.494,520.874
1989-01-31,3326.479,385.939
1989-02-28,3439.714,372.683
1989-03-31,3507.115,384.623
1989-04-30,3551.88,395.189
1989-05-31,3718.619,411.389
1989-06-30,3830.281,426.999
1989-07-31,3976.4897,403.163
1989-08-31,4055.1489,417.839
1989-09-30,4057.9932,406.694
1989-10-31,4133.3681,403.252
1989-11-30,4232.1736,464.68
1989-12-31,4249.8081,642.738
1990-01-31,4488.145741,511.47
1990-02-28,4661.650138,507.702
1990-03-31,4755.682838,498.901
1990-04-30,4931.263902,498.354
1990-05-31,4860.756983,537.961
1990-06-30,5015.875995,547.466
1990-07-31,5169.031041,515.212
1990-08-31,5228.220687,523.329
1990-09-30,5358.75898,527.104
1990-10-31,5453.621149,575.741
1990-11-30,5582.967818,587.092
1990-12-31,5665.688491,817.306
1991-01-31,5895.058611,655.708
1991-02-28,5994.918334,629.503
1991-03-31,6015.499999,644.532
1991-04-30,6287.992977,605.336
1991-05-31,6374.380483,656.331
1991-06-30,6393.297436,701.376
1991-07-31,6327.453458,690.711
1991-08-31,6303.562789,664.421
1991-09-30,6637.203493,657.584
1991-10-31,6929.897915,758.27
1991-11-30,7361.093402,772.468
1991-12-31,7590.534275,1032.513
1992-01-31,8130.700546,833.448
1992-02-29,8319.7146,805.134
1992-03-31,8693.669578,796.477
1992-04-30,8925.154189,878.235
1992-05-31,9115.275303,900.995
1992-06-30,9397.750999,949.008
1992-07-31,9434.798381,937.279
1992-08-31,9333.168293,920.158
1992-09-30,9608.400195,967.863
1992-10-31,9891.441951,978.297
1992-11-30,10275.905028,1026.1
1992-12-31,10632.589344,1406.546
1993-01-31,11015.455468,1116.426
1993-02-28,11339.107182,1083.452
1993-03-31,11484.969892,1177.884
1993-04-30,11857.237308,1155.022
1993-05-31,12298.746778,1135.918
1993-06-30,12690.395439,1229.5
1993-07-31,13368.479585,1214.138
1993-08-31,13641.646389,1166.793
1993-09-30,13866.37256,1252.632
1993-10-31,14309.081883,1275.554
1993-11-30,15192.734771,1272.587
1993-12-31,15560.858036,1748.459
1994-01-31,16516.345754327,1420.68
1994-02-28,16816.602030821,1375.028
1994-03-31,17121.109431379,1547.725831
1994-04-30,17756.725485623,1546.887
1994-05-31,18647.965501892,1470.164
1994-06-30,18678.23161641,1691.835
1994-07-31,19531.734589678,1603.209988
1994-08-31,19769.95225432,1671.556996
1994-09-30,20535.427563606,1631.927995
1994-10-31,20819.442913445,1726.361945
1994-11-30,21660.744274606,1942.381
1994-12-31,22459.355072423,2269.982964
1995-01-31,23287.428417819,1832.652999
1995-02-28,23562.428548577,1787.616
1995-03-31,24425.886454809,1881.943
1995-04-30,25010.484167096,1969.417
1995-05-31,25737.497815066,2026.263868
1995-06-30,26070.14908783,2128.722868
1995-07-31,26656.336927978,2058.183998
1995-08-31,26512.513900046,2115.226915
1995-09-30,27793.905921655,2047.747
1995-10-31,28395.659357671,2064.767999
1995-11-30,28647.300016941,2358.624997
1995-12-31,29161.126132486,2873.3
1996-01-31,29791.112907429,2406.591
1996-02-29,30173.735686947,2361.649983
1996-03-31,31020.555583263,2293.240964
1996-04-30,31785.510348883,2215.625
1996-05-31,32251.616146136,2332.485896
1996-06-30,32601.729903414,2524.515744
1996-07-31,33567.538255972,2492.523995
1996-08-31,33825.486437028,2389.296981
1996-09-30,34762.474921081,2316.198965
1996-10-31,34793.016348365,2492.081
1996-11-30,35823.792042705,2500.51
1996-12-31,38207.110199196,3240.107997
1997-01-31,38586.474406319,2705.599998
1997-02-28,38501.50273797,2655.729987
1997-03-31,38948.092418762,2828.177951
1997-04-30,40089.963883333,2900.191982
1997-05-31,40621.905618384,2903.657
1997-06-30,41619.899385752,3156.837
1997-07-31,42582.501924421,3112.915956
1997-08-31,42830.775912617,2975.413606
1997-09-30,43960.728181395,2911.529
1997-10-31,44631.100448801,3189.219998
1997-11-30,46588.311805459,3265.96
1997-12-31,48425.872486933,4102.306965
1998-01-31,48645.333395018,3423.16
1998-02-28,48804.171682742,3335.788926
1998-03-31,49804.203010028,3247.262
1998-04-30,50203.27375942,3411.453922
1998-05-31,51511.611108278,3394.047267
1998-06-30,51607.8337848,3535.51843
1998-07-31,51857.61757245,3418.336
1998-08-31,52082.175240147,3288.213107
1998-09-30,50995.38762625,3478.845518
1998-10-31,50796.448133377,3432.443448
1998-11-30,51570.599105989,3496.741483
1998-12-31,52035.137474849,4603.495683
1999-01-31,52759.400044467,3846.979458
1999-02-28,53249.287909645,3731.089874
1999-03-31,52699.703296303,3909.06594
1999-04-30,53709.429159077,3832.873993
1999-05-31,53067.7936937126,3934.804719
1999-06-30,52567.830973494,4575.527493756
1999-07-31,52350.634799149,4381.650356
1999-08-31,52631.06960069,4256.851677
1999-09-30,52072.292306229,4429.795252
1999-10-31,52486.588845985,4361.972503
1999-11-30,53445.7095885875,4305.928723
1999-12-31,53954.8584306294,6037.070837782
2000-01-31,54917.5570740613,4881.40274118456
2000-02-29,53096.5606877913,4718.960982684
2000-03-31,52930.2669529313,4921.655887474
2000-04-30,53333.042139332,4911.7238776
2000-05-31,53062.3452645157,5351.6287508
2000-06-30,52791.0611059692,5516.682838714
2000-07-31,53449.7369497624,5471.66328064182
2000-08-31,52617.8559334646,5550.238784968
2000-09-30,52973.7004557958,5532.17555235375
2000-10-31,53840.5401143436,5547.104821352
2000-11-30,54908.7869776391,6045.8286449541
2000-12-31,55206.8391749548,7276.0490665895
2001-01-31,55169.8923171129,6669.72348482151
2001-02-28,55798.4768126764,6492.939044998
2001-03-31,55702.0019842044,6263.182706166
2001-04-30,55905.8110440197,6167.477495042
2001-05-31,56234.3390789972,6412.553829535
2001-06-30,56452.7599622278,6505.237275856
2001-07-31,56754.8186620626,6350.643353802
2001-08-31,56989.3395379849,6356.986759656
2001-09-30,57176.3780400131,6283.475572209
2001-10-31,58393.6632382518,6670.1978713
2001-11-30,59057.4303971219,6868.51599778
2001-12-31,59974.5182915338,8349.441371858
2002-01-31,59026.9901265192,7565.964306728
2002-02-28,59426.503350574,7488.475887959
2002-03-31,59557.7699855132,7509.963446284
2002-04-30,60573.8817406832,7198.66885493
2002-05-31,60547.380040121,7527.803794498
2002-06-30,59998.6364656732,7962.265818307
2002-07-31,60210.2167457934,8250.137664253
2002-08-31,60267.6807548303,8192.592629146
2002-09-30,61076.5068559588,8155.28388473
2002-10-31,61145.2988215887,8420.16586394
2002-11-30,62584.2614580168,8516.694323741
2002-12-31,63981.9671294868,9993.495698491
2003-01-31,63956.7474842963,9142.33867052
2003-02-28,65031.9763621489,8865.06033118095
2003-03-31,65650.8831968234,8713.054290472
2003-04-30,65440.8685532366,8939.64493122
2003-05-31,66856.22451606,8829.54660381
2003-06-30,67900.55563318,9183.31674005
2003-07-31,67662.90375126,9419.67089758
2003-08-31,68255.75918132,9185.34433632
2003-09-30,68432.18777017,9136.99205305
2003-10-31,67762.72738726,9650.60753695
2003-11-30,69631.64277385,9933.92468262
2003-12-31,71429.65265915,11952.59778729
2004-01-31,71636.99287176,10946.76513141
2004-02-29,72357.4922976,10595.66635888
2004-03-31,73330.12793021,10729.48422345
2004-04-30,73563.07319684,10388.8507888
2004-05-31,73300.68919064,10390.08406707
2004-06-30,75910.49644771,11351.25865239
2004-07-31,75854.04780424,10855.43747656
2004-08-31,76731.62042976,10547.5607101
2004-09-30,78047.24574585,10881.42539491
2004-10-31,78850.6020032,10952.52584366
2004-11-30,80794.09805477,11366.33562395
2004-12-31,83798.80366652,13836.17018892
2005-01-31,84700.61059446,12526.52485332
2005-02-28,84766.83692944,12170.62439702
2005-03-31,86508.0083923,12412.45720054
2005-04-30,87340.24678891,12169.99008369
2005-05-31,88806.7795464,12215.64829615
2005-06-30,88833.84510625,13267.81994853
2005-07-31,89054.47790524,12864.27239122
