fecha,Inflación total,Tasa de desempleo (%),Meta de inflación,TIR
2001-01-01,8.49,16.6223,8.0,12.0
2001-02-01,8.06,17.4342,8.0,12.0
2001-03-01,7.81,15.8119,8.0,12.0
2001-04-01,7.98,14.5151,8.0,11.5
2001-05-01,7.87,14.0358,8.0,11.5
2001-06-01,7.93,15.3123,8.0,11.5
2001-07-01,8.09,15.1838,8.0,11.5
2001-08-01,8.03,14.9135,8.0,11.0
2001-09-01,7.97,14.0741,8.0,10.0
2001-10-01,8.01,14.5249,8.0,9.5
2001-11-01,7.78,13.6822,8.0,9.25
2001-12-01,7.65,13.6084,8.0,8.75
2002-01-01,7.37,17.9099,6.0,8.5
2002-02-01,6.7,16.1888,6.0,8.0
2002-03-01,5.89,15.1114,6.0,8.0
2002-04-01,5.65,16.077,6.0,7.25
2002-05-01,5.84,15.0221,6.0,6.25
2002-06-01,6.25,15.911,6.0,5.75
2002-07-01,6.16,15.4261,6.0,5.25
2002-08-01,5.98,15.9527,6.0,5.25
2002-09-01,5.97,14.4655,6.0,5.25
2002-10-01,6.37,14.9726,6.0,5.25
2002-11-01,7.07,15.1893,6.0,5.25
2002-12-01,6.99,15.4225,6.0,5.25
2003-01-01,7.39,16.2715,5.5,5.25
2003-02-01,7.24,15.8384,5.5,6.25
2003-03-01,7.6,13.1057,5.5,6.25
2003-04-01,7.85,15.0059,5.5,6.25
2003-05-01,7.73,12.8161,5.5,7.25
2003-06-01,7.21,14.1051,5.5,7.25
2003-07-01,7.04,14.5143,5.5,7.25
2003-08-01,7.26,14.3781,5.5,7.25
2003-09-01,7.11,14.2348,5.5,7.25
2003-10-01,6.58,13.5222,5.5,7.25
2003-11-01,6.13,12.6352,5.5,7.25
2003-12-01,6.49,12.5583,5.5,7.25
2004-01-01,6.19,17.2564,5.5,7.25
2004-02-01,6.28,15.7534,5.5,7.25
2004-03-01,6.21,13.5227,5.5,7.0
2004-04-01,5.49,14.681,5.5,6.75
2004-05-01,5.37,13.833,5.5,6.75
2004-06-01,6.07,14.0736,5.5,6.75
2004-07-01,6.19,12.9087,5.5,6.75
2004-08-01,5.89,13.0569,5.5,6.75
2004-09-01,5.97,12.2851,5.5,6.75
2004-10-01,5.9,12.2856,5.5,6.75
2004-11-01,5.82,11.8368,5.5,6.75
2004-12-01,5.5,11.9539,5.5,6.75
2005-01-01,5.43,13.2626,5.0,6.5
2005-02-01,5.25,14.0969,5.0,6.5
2005-03-01,5.03,12.9543,5.0,6.5
2005-04-01,5.01,12.0205,5.0,6.5
2005-05-01,5.04,12.4907,5.0,6.5
2005-06-01,4.83,11.5427,5.0,6.5
