Fecha,TIB,TIR,exp,cont
1999-01-02,,26.0,27.0,25.0
1999-01-03,,26.0,27.0,25.0
1999-01-04,31.6142107300346,26.0,27.0,25.0
1999-01-05,31.1873749524792,26.0,27.0,25.0
1999-01-06,30.4251269603024,26.0,27.0,25.0
1999-01-07,28.4330106704665,26.0,27.0,25.0
1999-01-08,28.9636100304068,26.0,27.0,25.0
1999-01-09,,26.0,27.0,25.0
1999-01-10,,26.0,27.0,25.0
1999-01-11,,26.0,27.0,25.0
1999-01-12,27.9215814119547,26.0,27.0,25.0
1999-01-13,29.0818000445211,26.0,27.0,25.0
1999-01-14,27.1368771542996,26.0,27.0,25.0
1999-01-15,27.3618232785706,26.0,27.0,25.0
1999-01-16,,26.0,27.0,25.0
1999-01-17,,26.0,27.0,25.0
1999-01-18,27.2414371993926,26.0,27.0,25.0
1999-01-19,26.7910782436072,26.0,27.0,25.0
1999-01-20,25.5813121640648,26.0,27.0,25.0
1999-01-21,24.8709660599195,26.0,27.0,25.0
1999-01-22,25.2322550894943,26.0,27.0,25.0
1999-01-23,,26.0,27.0,25.0
1999-01-24,,26.0,27.0,25.0
1999-01-25,23.1478682421883,26.0,27.0,25.0
1999-01-26,23.21631740758,26.0,27.0,25.0
1999-01-27,22.9696786783733,26.0,27.0,25.0
1999-01-28,23.2196601931793,26.0,27.0,25.0
1999-01-29,23.1709632773545,26.0,27.0,25.0
1999-01-30,,26.0,27.0,25.0
1999-01-31,,26.0,27.0,25.0
1999-02-01,23.4124831841726,26.0,27.0,25.0
1999-02-02,23.5216559586743,26.0,27.0,25.0
1999-02-03,23.7194659802494,26.0,27.0,25.0
1999-02-04,24.3410665597434,26.0,27.0,25.0
1999-02-05,24.9231637519873,26.0,27.0,25.0
1999-02-06,,26.0,27.0,25.0
1999-02-07,,26.0,27.0,25.0
1999-02-08,22.9109769075123,24.0,25.0,23.0
1999-02-09,22.8126732908624,24.0,25.0,23.0
1999-02-10,22.5512237477274,24.0,25.0,23.0
1999-02-11,22.7439696179873,24.0,25.0,23.0
1999-02-12,23.5972933159139,24.0,25.0,23.0
1999-02-13,,24.0,25.0,23.0
1999-02-14,,24.0,25.0,23.0
1999-02-15,22.9310218978102,24.0,25.0,23.0
1999-02-16,22.8111854438522,24.0,25.0,23.0
1999-02-17,23.3822142611016,24.0,25.0,23.0
1999-02-18,23.2690018350521,24.0,25.0,23.0
1999-02-19,22.4768389620293,24.0,25.0,23.0
1999-02-20,,24.0,25.0,23.0
1999-02-21,,24.0,25.0,23.0
1999-02-22,22.0471068895262,24.0,25.0,23.0
1999-02-23,22.3978415324086,24.0,25.0,23.0
1999-02-24,22.2215678149545,24.0,25.0,23.0
1999-02-25,22.070875699572,24.0,25.0,23.0
1999-02-26,22.2958627087199,24.0,25.0,23.0
1999-02-27,,24.0,25.0,23.0
1999-02-28,,24.0,25.0,23.0
1999-03-01,22.1657928457021,24.0,25.0,23.0
1999-03-02,22.3152522964638,24.0,25.0,23.0
1999-03-03,22.1734358974359,24.0,25.0,23.0
1999-03-04,21.8356398687101,24.0,25.0,23.0
1999-03-05,21.8995324450281,24.0,25.0,23.0
1999-03-06,,24.0,25.0,23.0
1999-03-07,,24.0,25.0,23.0
1999-03-08,21.8704409332672,23.0,24.0,22.0
1999-03-09,21.95164738466,23.0,24.0,22.0
1999-03-10,21.8358953846064,23.0,24.0,22.0
1999-03-11,22.0564441264478,23.0,24.0,22.0
1999-03-12,22.4308481310486,23.0,24.0,22.0
1999-03-13,,23.0,24.0,22.0
1999-03-14,,23.0,24.0,22.0
1999-03-15,22.4131464680701,23.0,24.0,22.0
